Abisara attenuata;"Arunachal Pradesh, India, Changlang District, Namdapha NP, Deban"
Castalius rosimon;"Bandipur TR, Chandigarh, Devgad, Campbell Bay, Gondiya District, Devarayanadurga, Cauvery WLS, Valsad District, Kerala, Changlang District, Shivamogga District, Nuripara, Camp Geedee, Baghmundi, Horsley Hills, Tamhanmala, Chintamani Kar Bird Sanctuary, Mandya District, Parambikkulam WLS, Buxa TR, Dhaka, Arunagiri Forest Park, Wildlife Institute Of India, Baksa District, Paschimbanga, Tamil Nadu, East Godavari District, Jigani, Gadchiroli District, Aithan Dighola Gaon, Soraipung RF, Kaggalipura, Applaagraharam, Bengaluru Urban District, Puruliya District, Kakkur, Srikakulam District, Hanging Gardens, Songaon, Malabar Hills, Krishnanagar, Vaniyambalam, Patiala Ki Rao Reserved Forest, Gumalapuram Village, Lingambudhi Lake, Andhra Pradesh, Pune, Great Nicobar Island, Mirzapur District, Athigundi Village, Outskirts of Bengaluru, Amboli, Nabagram, Nizamsagar Dam, Chiplun, Kawal Wildlife Sanctuary, East Kameng District, Gopalaswamy Betta, Andaman and Nicobar Islands, IIT Bombay, Miao, Agalahatti, Payangadi, Mysore District, Dhanora, Umamaheswaram Temple, Talakona Forest, Kurul, Hoollongapar Gibbon Sanctuary, Satara, Galibore Fishing Camp, South Andaman District, Dehradun District, Saalugudda Homestay, Tripura, Kanyakumari District, Nimmakuru Village, Pakke TR, Savandurga SF, Hyderabad Urban District, Nagla Block, Dundigal Village, Daroji Sloth Bear Sanctuary, Vishakhapatnam District, Subankhata, Dakshina Kannada District, Kanyakumari WLS, Thiruvananthapuram  District, Pune District, Upparahal, Assam, Mahbubnagar District, India, Maredumilli, Telangana, RGSC BHU, Kallikad, Karle Home Stay, Uttar Pradesh, Burhachapori WLS, Valley School, Jorhat District, Kolhapur District, Chandigarh District, Ujlaiwadi, Ganganahally, Nicobar District, Thoseghar, Prashanti Kutiram, Lepakshi, Arunachal Pradesh, Tiruvanamala District, Udyavar, Kolhapur Airport, Bengaluru  Rural District, Nadia District, Chamrajnagar District, Chandannagar, Sakleshpur, Nanmangalam RF, Kolkata District, Hooghly District, Gaganbavda, Pocharam Village, South 24 Parganas District, Sanjay Gandhi NP, Ragihalli, Vithura, Karnataka, Sirsi, Anantapur District, Keesara Gutta, Ratnagiri District, Sonitpur District, Kodagu District, Udvada, Maharashtra Nature Park, Agumbe Rainforest Research Station, Alipurduar District, Maju, Namdapha NP, Chikkamagaluru District, Nizamabad District, Kumar Mangalam Park, Durgapur, Jhari Eco Stay, Rangareddi District, Mumbai City District, Bangladesh, Yeoor, Maharashtra, Satara District, Mendha Village, Kannur  District, Tinsukia District, Kozhikode District, J.P. Nagar RF, Hassan District, Radhanagar Beach, Anantagiri Forest, Narsapur Forest, Chik Yelchetti, Sullia, Kutta, Araku valley, Near Bio Veda Retreat, Pashan, Khowai, Gujarat, Barkachha, Kasu Brahmananda Reddy (KBR) NP, Ballari District, Uttarakhand, Alibag Taluka, Kolkata, Howrah District, Navegaon NP, Kallar Eco Tourism Park, Udupi District, Krishnagiri District, Dibrugarh District, Medak District, Krishna District, Kalyan, Palakkad District, Sindhudurg District, Raigad District, National Botanical Garden, Malappuram District, Uttara Kannada District, Chittoor District, Adilabad District, Bhatchala(south), Chennai District, Thal, Thane District, Tumkur District, Domjur, Mumbai Suburban District, Bardhaman District, Powai, Shodhgram, Magadi Taluk, Saputara, Khowai District, Dhaka district, Tungareshwar WLS, Chatgaon, Dang District, Mysore City"
Catapaecilma major;"Chizami, South Goa District, Kerala, Lunkai Nullah, Darjeeling District, Changlang District, Shivamogga District, Jayanti, Halgeri, Phek District, Sanjay Gandhi NP, Kannur, Pelhar Dam, Karnataka, Buxa TR, Cotigao WLS, Bhitarkanika NP, Malappuram District, Suntale Khola, Paschimbanga, Sindhudurg District, Nagaland, Uttara Kannada District, Kendrapara District, Odisha, Pattathippara Waterfalls, Jog Falls, Alipurduar District, Goa, Siddapur, Neerchal, Thane District, Namdapha NP, Mumbai Suburban District, India, Rajabhatkhawa, Thrissur District, Maharashtra, Satara District, Aralam WLS, Amboli, Kannur  District, Thoseghar, Kasaragod District, Chilapata WLS, Vasai, Tungareshwar WLS, Arunachal Pradesh, Nilambur"
Catapaecilma subochrea;"Arunachal Pradesh, India, Changlang District, Namdapha NP, Deban"
Catochrysops panormus;"Khalingduar Reserve Forest, Aizwal-Reiek Road, Balpakram NP, West Kameng District, South Garo Hills District, Lunglei, Changlang District, Deban, South Andaman District, Lunglei District, Near Ferrargunj, Pakke TR, Aizawl District, Vaipuanpho Camp, Hatikuli Tea Estate, Khadi (Khari), Assam, Gongrot, Namdapha NP, India, Golaghat District, Udalguri District, Mizoram, Meghalaya, East Kameng District, Eaglenest WLS, Arunachal Pradesh, Lama Camp, Andaman and Nicobar Islands"
Catochrysops strabo;"Tamhini Ghat, Devgad, Coimbatore District, Devarayanadurga, Hyderabad, Ranjhi, Goverment Guest House, Kerala, Havelock Islands, Whitefield, Nuripara, Camp Geedee, Dodda Kammanahalli, Sikhar Hill, South Campus, Bomphu, Buxa TR, Chikkaballapur District, Wildlife Institute Of India, Block-B14, Paschimbanga, Tamil Nadu, East Godavari District, Gadchiroli District, Punas, Osmania University, Shivanahall, Pag, Mawlong-Terna Road, Bangalore University Campus, Bengaluru Urban District, Siruvani, Hanging Gardens, Malabar Hills, Krishnanagar, Hosur, Manipur, Gumalapuram Village, Andhra Pradesh, Pune, Bongaigaon, Amboli, Nizamsagar Dam, Kawal Wildlife Sanctuary, Chiplun, Chandrapur District, University Of Hyderabad, Andaman and Nicobar Islands, IIT Bombay, Kathayat Bara Village, West Kameng District, Bankura District, Jabalpur District, Talakona Forest, Kallar, Satara, Jayanti, South Andaman District, Dehradun District, Kovai Kutralam, Savandurga SF, Ahmedabad District, Hyderabad Urban District, Sanjeevaiah Park, Hatikuli Tea Estate, Baghpara, Phansad WLS (Supegaon End), Idukki District, Bongaigaon District, Alappuzha District, Pandit Deendayal Petroleum University, Medicinal Plant Gardens, Moharli, Begur Hobli, Mannancherry, Makalidurga, Pune District, Assam, Ovalekar Wadi Butterfly Park, India, Channasandra, Telangana, Maredumilli, Golaghat District, Senapati District, Nakkati Hills, Uttar Pradesh, ISACON Vatika, Valley School, Ganganahally, Chandaipeta village, Bageshwar District, Chowmahalla Palace, Meghalaya, Qutub Shahi Tombs, Kumbharli Ghat, Eaglenest WLS, Arunachal Pradesh, K.V. No1, Kalyani, Raibaghini, Horagina Betta, Bengaluru  Rural District, Nadia District, Chamrajnagar District, Kolkata District, Ayyanar Falls, Ragihalli, Sanjay Gandhi NP, Karnataka, Mahavir Harina Vanasthali NP, Ratnagiri District, Indira Park, Maharashtra Nature Park, Alipurduar District, Anamudi Shola NP, Nizamabad District, Rangareddi District, Mumbai City District, Amakatadu Village, East Khasi Hills District, Maharashtra, Satara District, J.P. Nagar RF, Narsapur Forest, Virudhunagar District, Shama, Pashan, Gujarat, Ramakrishna Mission, Uttarakhand, Gandhinagar District, Kolkata, Senapati, Lucknow District, Krishnagiri District, Medak District, Lanja, Raigad District, Sindhudurg District, Kurnool District, Dholera Village, Murud-Janjira Taluka, Chittoor District, Adilabad District, Government Horticultural Garden, Thane District, Madhya Pradesh, Biligiri Rangaswamy Temple WLS, Tumkur District, Mumbai Suburban District, Sinhagad, Agricultural University, Ponmudi, Powai, Jalahalli, Shodhgram, Magadi Taluk, SGPGI Campus, Lalbagh Botanical Gardens, Tungareshwar WLS, Chatgaon"
Catopsilia pomona;"Perambra, Devgad, Campbell Bay, Pissurlem, Devarayanadurga, Hyderabad, Kerala, Indian Institute of Science (IISc) Campus, Dodda Kammanahalli, Aithan, Kamrup District, Haveri District, Mandya District, Buxa TR, Umaria District, Wildlife Institute Of India, Baksa District, Dimapur, Paschimbanga, Jalpaiguri District, Garbhanga Reserve Forest, Tamil Nadu, Jigani, Chhattisgarh, Osmania University, Goa, Kanakpura Taluk, Bangalore University Campus, Bengaluru Urban District, Nakachari, Hanging Gardens, Pawalgarh Conservation Reserve, Raipur District, Girinagar, Malabar Hills, Gumalapuram Village, Andhra Pradesh, Pune, Great Nicobar Island, Amboli, Valpoi, Chandrapur District, Jeypore-Dehing , Andaman and Nicobar Islands, Matheran, IIT Bombay, Nagadera Gaon, Dimapur District, Agalahatti, Rambagh Gardens, Hoollongapar Gibbon Sanctuary, Amritsar Urban District, Dehradun District, Tripura, Savandurga SF, Kanaka Ecological Park (KDA), Hyderabad Urban District, Bannerghatta RF, Sanjeevaiah Park, Hatikuli Tea Estate, Nagla Block, Alappuzha District, Rajkot City, Begur Hobli, Subankhata, Dakshina Kannada District, Thiruvananthapuram  District, Mararikkulam, Pune District, Assam, India, Golaghat District, Telangana, Punjab, Kashmir Avenue, Kallikad, Uttar Pradesh, Chandrapur, Jorhat District, Ganganahally, Hyderabad Central University, Nicobar District, Prashanti Kutiram, Lepakshi, Nehru Zoological park, Sammilan Shetty's Butterfly Park, Malleshwaram, Tiruvanamala District, Bhopal, Baramura Hill, Bandhavgarh NP, Bengaluru  Rural District, Pyramid Valley, Botanical Gardens, Sakleshpur, Jalpaiguri, Near Kolar Village, Ramnagar district, Ayyanar Falls, Bhopal District, Sanjay Gandhi NP, nr Shivanasamudra, Karnataka, Sirsi, Kammanahalli Village, Rajkot District, Anantapur District, Kaginele Byadgi Taluk, Lucknow Cantonment, Kodagu District, Maharashtra Nature Park, Dwarka, Nagarhole NP, Alipurduar District, Vivekananda Park, Bhandara District, Yeoor, Dharmanagar, Rangareddi District, Mumbai City District, Indiranagar, Chukki Mane, Maharashtra, Jalgaon District, Kozhikode District, Hassan District, J.P. Nagar RF, Narsapur Forest, Mangalore Taluk, Virudhunagar District, Vilangad, Garalia, Sonatala, Near Bio Veda Retreat, Aundh, Pashan, Shivaji Udyan, Gujarat, Uttarakhand, Howrah District, Lucknow District, Krishnagiri District, Dibrugarh District, Medak District, Sahakar Nagar, Sindhudurg District, Nagaland, Raigad District, Uttara Kannada District, Chennai District, Nainital District, North Tripura District, Nagzira Tiger Reserve, Madhya Pradesh, Thane District, Butterfly Park, Tumkur District, Mumbai Suburban District, Gokarna, Sinhagad, Agricultural University, North Goa District, Guwahati, Powai, Beluvai, Ramana Nagar, West Delhi District, Magadi Taluk, Khowai District, Tungareshwar WLS, Delhi, Samajikvanikarn"
Catopsilia pyranthe;"Bandipur TR, Devgad, Goverment Guest House, Kerala, Changlang District, Dodda Kammanahalli, Horsley Hills, Kamrup District, Haveri District, Mandya District, Chikkaballapur District, Paschimbanga, Dibrugarh Town, Tamil Nadu, East Godavari District, Pathanamthitta District, Solapur District, Bangalore University Campus, Bengaluru Urban District, Hanging Gardens, Malabar Hills, Vaniyambalam, Andhra Pradesh, Pune, Burnihat, DVC Canal, Gopalaswamy Betta, Byadgi Taluk, Konni, Kathayat Bara Village, Anjana, Hoollongapar Gibbon Sanctuary, Satara, Nandi Hills, Savandurga SF, Kanaka Ecological Park (KDA), Hyderabad Urban District, Mohali district, Sanjeevaiah Park, Pocharam Wildlife Sanctuary, Nagla Block, Madivala Lake, Rajkot City, Medicinal Plant Gardens, Begur Hobli, Pune District, Assam, India, Maredumilli, Telangana, Punjab, Valley School, Jorhat District, Bageshwar District, Nainital, Surat District, Arunachal Pradesh, Manneera, Bhopal, Bengaluru  Rural District, Chamrajnagar District, Kolkata District, Hooghly District, Bhopal District, Sanjay Gandhi NP, nr Shivanasamudra, Karnataka, Rajkot District, Mahavir Harina Vanasthali NP, Kaginele Byadgi Taluk, IISER Mohali, Maharashtra Nature Park, CASFOS campus, Namdapha NP, Dumka District, Chukki Mane, Mumbai City District, Mydanahalli, Maharashtra, Jayamangali Blackbuck Reserve, Satara District, Kadaramandalagi, Dharmapuri District, Baidyabati, Massanjor, Aundh, Gujarat, Uttarakhand, Deban, Kolkata, Solapur, Hogenakkal Falls, Dibrugarh District, Medak District, Malappuram District, Sindhudurg District, Jharkhand, Chittoor District, Nainital District, Bhatchala(south), Madhya Pradesh, Thane District, Tumkur District, Bardhaman District, Sinhagad, Ponmudi, Mohali, Magadi Taluk"
Catopsilia scylla;"Nicobar District, Great Nicobar Island, India, Andaman and Nicobar Islands, Campbell Bay"
Celaenorrhinus ambareesa;"IIT Bombay, Kurul, Kerala, Alibag Taluka, Amarkantak, Sanjay Gandhi NP, Pelhar Dam, Chinnar WLS, Aarey Colony, Umaria District, Idukki District, Raigad District, Sindhudurg District, Goregaon, Pune District, Thane District, Madhya Pradesh, Ovalekar Wadi Butterfly Park, Mumbai Suburban District, Periyar TR, India, Yeoor, Powai, Thrissur District, Panshet, Maharashtra, Satara District, Mangaladevi, Amboli, Nenmara-Nelliyampathy Road, Thoseghar, Vasai, Dombivli, Tungareshwar WLS"
Celaenorrhinus asmara;"Karwani, Baghmara RF, South Garo Hills District, Bhowanipur, Meghalaya, India"
Celaenorrhinus aurivittata;"Mizoram, Anamika Falls, Pakke TR, Mara Autonomous District, East Kameng District, Namdapha NP, Phura, Arunachal Pradesh, India, Changlang District, Deban"
Celaenorrhinus badia;"West Kameng District, Arunachal Pradesh, India, Sessa Orchid Sanctuary"
Celaenorrhinus dhanada;"Bhimtal, Sikkim, Nainital District, Rolep, Namchi, South Sikkim District, East Sikkim District, India, Uttarakhand"
Celaenorrhinus fusca;"Pushpakandam, Nedumkandam, South Goa District, Kerala, Sakleshpur, Silent Valley NP, Karnataka, Ernakulam District, Sirsi, Kuttikkanam, Neendapara, Udupi District, Cotigao WLS, Kudlu Teertha, Malappuram District, Ratnagiri District, Palakkad District, Idukki District, Sindhudurg District, Uttara Kannada District, Dakshina Kannada District, Goa, Pune District, 13th Gate, Hiranyakeshi, India, Thattekad, Bhimashankar WLS, Maharashtra, Nilambur, Amboli, Pampadum Shola NP, Hassan District, Kumbharli Ghat, Chiplun, Salim Ali Bird Sanctuary, Charmadi Ghat, Neriamangalam Painavu Road"
Celaenorrhinus leucocera;"Haldibari, Coimbatore District, West Seijosa, Baripada, South Goa District, Phansad WLS, Lunkai Nullah, North Orissa University, Darjeeling District, Changlang District, Shivamogga District, Jayanti, Uttarakhand, Deban, Nongriat, Sukna, Sanjay Gandhi NP, Netravali WLS, Pakke TR, Indira Gandhi NP, Karnataka, Buxa TR, Cotigao WLS, Suntale Khola, Paschimbanga, Raigad District, Tamil Nadu, Sindhudurg District, Mayurbhanj District, East Godavari District, Anamalais, Odisha, Nainital District, Jog Falls, Alipurduar District, Goa, Thane District, Namdapha NP, Mahananda WLS, India, Maredumilli, North Goa District, Rajabhatkhawa, Andhra Pradesh, East Khasi Hills District, Maharashtra, Amboli, Varagaliar Shola, Cherrapunjee, Meghalaya, Nainital, East Kameng District, Tungareshwar WLS, Arunachal Pradesh"
Celaenorrhinus munda;"Bhimtal, Mukteshwar, Sikkim, Nainital District, Dalhousie, Tingvong-Lingzya, Chamba District, Uttarkashi District, North Sikkim District, Taluka Village, Govind Pashu NP, Himachal Pradesh, India, Upper Dzongu, Upper Bakrota, Uttarakhand"
Celaenorrhinus nigricans;"Arunachal Pradesh, India, Changlang District, Namdapha NP, Deban"
Celaenorrhinus pero;"Dehradun District, Chakrata, Kangra District, Mcleodganj, Himachal Pradesh, India, Uttarakhand"
Celaenorrhinus plagifera;"West Kameng District, Arunachal Pradesh, India, Bomphu, Eaglenest WLS"
Celaenorrhinus putra;"Kakkayam, Dandeli WLS, South Goa District, Kerala, Hidlumane Falls, Darjeeling District, Changlang District, Shivamogga District, Jayanti, Deban, Sukna, Tamhanmala, Sanjay Gandhi NP, Netravali WLS, Karnataka, Buxa TR, Banasura Sagar Dam, Cotigao WLS, Kallar-Ponmudi, Ratnagiri District, Paschimbanga, Sonitpur District, Sindhudurg District, Uttara Kannada District, Nameri NP, Thiruvananthapuram  District, Alipurduar District, Goa, Assam, Thane District, Mawlong-Terna Road, Namdapha NP, Mahananda WLS, India, North Goa District, Yeoor, East Khasi Hills District, Maharashtra, Amboli, Kozhikode District, Wayanad District, Meghalaya, 17th Mile, Arunachal Pradesh, Kodachadri"
Celaenorrhinus pyrrha;"Pakke TR, Arunachal Pradesh, India, Pakke Kesang, East Kameng District"
Celaenorrhinus ratna;"Manipur, Kohima District, Phuba, Senapati District, Lower Subansiri District, Dzulekie, Nagaland, Ziro, Arunachal Pradesh, India"
Celaenorrhinus tibetana;"West Kameng District, Arunachal Pradesh, India, Eaglenest WLS"
Celastrina argiolus;"Jammu and Kashmir, Baram, Pithoragarh District, Leh City, India, Ladakh (Leh) District, Uttarakhand"
Celastrina gigas;"Dehradun District, India, Uttarakhand, Chakrata"
Celastrina lavendularis;"Aizwal-Reiek Road, South Sikkim District, Chamrajnagar District, Kerala, Sakleshpur, Pabung Khola, Lunkai Nullah, Changlang District, Shivamogga District, Jayanti, Uttarakhand, Deban, Agumbe Valley, Sikkim, Pakke TR, Karnataka, Buxa TR, Banasura Sagar Dam, Aizawl District, Udupi District, Vaipuanpho Camp, Krishnagiri District, Pithoragarh District, Paschimbanga, Wayanad WLS, Idukki District, Tamil Nadu, Gullatty RF, Sindhudurg District, Birthi, Kakkadampoyil, Alipurduar District, Bangalore University Campus, Bengaluru Urban District, Biligiri Rangaswamy Temple WLS, Namdapha NP, India, Periyar TR, Someshwara WLS, Mizoram, Vallakkadavu, Langka, Maharashtra, Amboli, Pampadum Shola NP, Kozhikode District, Wayanad District, Hassan District, Lalbagh Botanical Gardens, East Kameng District, Arunachal Pradesh"
Celatoxia albidisca;"Pampadum Shola NP, Kerala, Anamudi Shola NP, Idukki District, India, Mannavan Shola"
Celatoxia marginata;"Manipur, Phuba, Senapati District, Lower Dibang Valley District, Tehri Garhwal District, Sikkim, Jauljibi, Dhanaulti, 19th Mile, Namprikdang Rest House, North Sikkim District, Pithoragarh District, 17th Mile, Namdapha NP, Mehao WLS, Arunachal Pradesh, India, Changlang District, Uttarakhand"
Cephrenes acalle;"Kerala, Kolkata District, Changlang District, Jayanti, Kolkata, Howrah District, South 24 Parganas District, Pakke TR, Karnataka, Buxa TR, Sundarbans NP, Khadi (Khari), Krishnagiri District, Ratnagiri District, Paschimbanga, Baksara, Bongaigaon District, Tamil Nadu, Gullatty RF, Hesaraghatta Lake, 19th Mile, Alipurduar District, Goa, Neerchal, Thane District, Assam, Mankavu, Bengaluru Urban District, Namdapha NP, India, North Goa District, Malabar Hills, Mumbai City District, Senbagathoppu, Ponda, Maharashtra, Bongaigaon, Jalahalli, Kozhikode District, Chengott Kavu, J.P. Nagar RF, Kasaragod District, Chiplun, Dombivli, East Kameng District, Virudhunagar District, Arunachal Pradesh, Talauli"
Cepora nadina;"Makkiyad, Honey Valley, Balpakram NP, Coimbatore District, South Garo Hills District, Kakkavayal, Mananthavadi, Iruppu Falls, Kerala, Phansad WLS, Lunkai Nullah, Elephant Conservation Reserve, Thenmala, Changlang District, Darbakulam, Jayanti, Nongriat, Deban, Shivamogga District, South Andaman District, Kokrajhar District, Ultapani, Near Ferrargunj, Saalugudda Homestay, Pakke TR, Karnataka, Indira Gandhi NP, Buxa TR, Banasura Sagar Dam, Udupi District, Hatikuli Tea Estate, Ratnagiri District, Paschimbanga, Senapati To Sorbung Road, Idukki District, Tamil Nadu, Raigad District, Kodagu District, Sindhudurg District, Anamalais, Biodiversity Park, Pathanamthitta District, Agumbe Rainforest Research Station, Alipurduar District, Digboi, Assam, Siju WLS, Gongrot, Kunnar, Namdapha NP, Sabarimala, Mount Harriet NP, India, Periyar TR, Golaghat District, Someshwara WLS, Vayalata, Manipur, Senapati District, Langka, East Khasi Hills District, Maharashtra, Mangaladevi, Amboli, Kozhikode District, Tinsukia District, Wayanad District, Hassan District, Kaavu Estate, Meghalaya, Kumbharli Ghat, Chiplun, East Kameng District, Karian Shola, Virudhunagar District, Arunachal Pradesh, Kollam District, Andaman and Nicobar Islands"
Cepora nerissa;"Bandipur TR, Devgad, Gondiya District, Devarayanadurga, Hyderabad, Kerala, Chiplun Taluka, Changlang District, Whitefield, Camp Geedee, Haveri District, Periyakulam, Mandya District, Buxa TR, Khadi (Khari), Paschimbanga, Tamil Nadu, Gadchiroli District, Lucknow, Rajasthan, Bengaluru Urban District, Hanging Gardens, Pawalgarh Conservation Reserve, Girinagar, Malabar Hills, Gumalapuram Village, Lingambudhi Lake, Andhra Pradesh, Pune, Langka, Amboli, Chiplun, East Kameng District, New Delhi, Gopalaswamy Betta, Andaman and Nicobar Islands, Byadgi Taluk, Mathur, IIT Bombay, New Delhi District, Bankura District, Turahalli RF, Mysore District, Jayanti, South Andaman District, Nimmakuru Village, Near Ferrargunj, Pelhar Dam, Savandurga SF, Pakke TR, Hyderabad Urban District, Malad East, Phansad WLS (Supegaon End), Mulund (west), Idukki District, Nagla Block, Madivala Lake, Madayi Para, Begur Hobli, Yelagiri Hills, Pune District, Keoladeo NP, Gadchiroli, Ovalekar Wadi Butterfly Park, Mrugavani NP, India, Channasandra, Telangana, Hill Palace, Uttar Pradesh, Panshet, Valley School, Swamimalai, Ganganahally, Bharatpur District, Kumbharli Ghat, Alibag, Nehru Zoological park, Arunachal Pradesh, Forest Academy, Raibaghini, Kamthe, Bengaluru  Rural District, Chamrajnagar District, Pocharam Village, Sanjay Gandhi NP, Ragihalli, Karnataka, Kanakapura, Chinnar WLS, Kadavekere Doddi village, Ratnagiri District, Golapbag, Maharashtra Nature Park, Alipurduar District, Vivekananda Park, Kalej Khola, Namdapha NP, Yeoor, Rangareddi District, Mumbai City District, Maharashtra, Kannur  District, Jalgaon District, Kadaramandalagi, Narsapur Forest, Kanakeshwar, Srirangapatna Taluka, Chik Yelchetti, Theni District, Dulapally, Tiruchchirappalli District, Lower Mukrung, Hosahally, Uttarakhand, Deban, Sikkim, Navegaon NP, Ernakulam District, Lucknow District, Krishnagiri District, East Sikkim District, Medak District, Krishna District, Sahakar Nagar, Raigad District, Sindhudurg District, Vellore District, Murud-Janjira Taluka, Nainital District, Rorathang, Near Janeshwar Mishra Park, Thane District, Butterfly Park, Taralu, Tumkur District, Mumbai Suburban District, Bardhaman District, Chilkur, Powai, Haus Khas District Park, Shodhgram, Magadi Taluk, Mamurabadroad, Gomti River Bank, Vasai, West Sikkim District, Tungareshwar WLS, Chatgaon, Delhi, Mysore City"
Cethosia biblis;"Lohit District, Near Shatuza Village, West Kameng District, Lunglei, Dzulekie, North Sikkim District, Elephant Conservation Reserve, Changlang District, Kamlang WLS, Deban, Lunglei District, Sikkim, Phek District, Ultapani, On Route From Sessa To Tenga, Mangan, Buxa TR, Tingvong, Paschimbanga, Nagaland, Upper Dzongu, Phuba, Kohima District, Alipurduar District, Digboi, Assam, Namdapha NP, 22nd Mile, India, Manipur, Senapati District, Mizoram, Shathiiya, East Khasi Hills District, Tinsukia District, Lingtem, Cherrapunjee, Meghalaya, Eaglenest WLS, Arunachal Pradesh, Kokrajhar District"
Cethosia cyane;"Manas NP, Nagadera Gaon, Lower Dibang Valley District, Happy Valley, Garalia, Indian Institute of Technology, Dimapur District, Ngengpui WLS, Central agriculture and research, Champhai District, Havelock Islands, Changlang District, Hoollongapar Gibbon Sanctuary, Jayanti, Nongriat, Deban, Aithan, South Andaman District, Darjeeling District, Port Blair, Kamrup District, Ultapani, Pakke TR, Senapati, Buxa TR, Khadi (Khari), Baksa District, Dibrugarh District, Dimapur, Paschimbanga, Sonitpur District, Suntale Khola, Bongaigaon District, Nagaland, Bagheswari Hill, Alipurduar District, Deepor Beel, CASFOS campus, Assam, Nakachari, Namdapha NP, India, Orang NP, Guwahati, Manipur, Mizoram, Senapati District, East Khasi Hills District, Bongaigaon, Burnihat, Jorhat District, Jeypore RF, Roing, Meghalaya, Chilapata WLS, East Kameng District, Kokrajhar District, Arunachal Pradesh, Andaman and Nicobar Islands"
Cethosia mahratta;"South Goa District, Kerala, Tirunelveli District, Shivamogga District, Karnataka, Bondla WLS, Parambikkulam WLS, Udupi District, Cotigao WLS, Kudlu Teertha, Palakkad District, Sindhudurg District, Tamil Nadu, Courtallam, Peruvannamoozhi, Dakshina Kannada District, Jog Falls, Goa, Apewal Priol, India, North Goa District, Eco-Park Near Five Falls, Someshwara WLS, Beluvai, Ponda, Maharashtra, Amboli, Kozhikode District, Butterfly Conservatory of Goa, Mangalore Taluk, Sammilan Shetty's Butterfly Park"
Chaetoprocta odata;"Tehri Garhwal District, Dehradun District, Dhobi Ghat, Binsar WLS, Devalsari, Woodstock Nala, Almora District, Mussoorie, India, Uttarakhand"
Chamunda chamunda;"Pange, Alipurduar District, Buxa TR, Lower Subansiri District, Paschimbanga, Arunachal Pradesh, India, Jayanti"
Charana mandarinus;"Babupara, South Garo Hills District, Khowai, Jalpaiguri, Jayanti, Baghmara RF, Karwani, Tripura, Buxa TR, Cooch Behar District, Karimganj District, Paschimbanga, Jalpaiguri District, Sonitpur District, Beside JYMA Ground, Alipurduar District, Ganagmouthan, Assam, Cooch Behar, Cachar District, India, Makunda Christian Hospital, Meghalaya, Khowai District, Silchar Medical College"
Charaxes agrarius;"Devarayanadurga, Turahalli RF, Pashan, Sagwara, Mysore District, Bengaluru  Rural District, Gujarat, Uttarakhand, Dehradun District, Tamhanmala, Savandurga SF, Pelhar Dam, Karnataka, Bannerghatta RF, Hyderabad Urban District, Bennigana Halli Lake, Mahavir Harina Vanasthali NP, Keesara Gutta, Ratnagiri District, Lalitha Mahal Palace, Nainital District, Makalidurga, Pune District, Asan Conservation Reserve, Thane District, Bangalore University Campus, Rajasthan, Bengaluru Urban District, Tumkur District, Sinhagad, India, Telangana, Songaon, Rangareddi District, Pune, Hulimavu Lake, Maharashtra, Satara District, Jalahalli, Magadi Taluk, Bengaluru University Campus, J.P. Nagar RF, Vasai, Nainital, Kaas, Lalbagh Botanical Gardens, Dangs, Tungareshwar WLS, Dang District, Dungarpur District"
Charaxes andamanicus;"South Andaman District, India, Andaman and Nicobar Islands, Chidiya Tapu"
Charaxes aristogiton;"Mizoram, Lunglei District, Ultapani, Lunglei, Alipurduar District, Buxa TR, Assam, Namdapha NP, Paschimbanga, Arunachal Pradesh, India, Changlang District, Kokrajhar District, Jayanti"
Charaxes arja;"Panda, Anamika Falls, Balpakram NP, South Garo Hills District, Meghalaya, Gongrot, Namdapha NP, Arunachal Pradesh, India, Changlang District"
Charaxes bernardus;"Manas NP, Balpakram NP, Dehing Patkai WLS, Bankura District, South Garo Hills District, Dimapur District, Lunglei, Baramura Hill, Lunkai Nullah, Hoollongapar Gibbon Sanctuary, Changlang District, Jayanti, Baghmundi, Baghmara RF, Karwani, Ultapani, Tripura, Lunglei District, Kamalpur, Pakke TR, Buxa TR, Bordubi, Baksa District, Paschimbanga, Jalpaiguri District, Nagaland, West Bank to Jolly track, Alipurduar District, Assam, Siju WLS, Gongrot, Puruliya District, Namdapha NP, India, Rajabhatkhawa, Mizoram, 23rd Mile, East Khasi Hills District, Jorhat District, Kankra River, Tinsukia District, Lataguri forest rest house, Cherrapunjee, Meghalaya, Khowai District, East Kameng District, Koomsong, Arunachal Pradesh, Kokrajhar District, Chumukedima"
